image,class,split
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3000.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3001.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3002.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3003.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3004.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3005.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3006.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3007.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3008.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3009.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3010.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3011.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3012.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3013.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3014.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3015.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3016.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3017.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3018.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3019.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3020.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3021.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3022.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3023.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3024.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3025.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3026.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3027.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3028.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3029.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3030.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3031.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3032.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3033.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3034.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3035.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3036.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3037.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3038.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3039.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3040.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3041.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3042.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3043.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3044.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3045.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3046.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3047.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3048.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3049.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3050.jpg,0,test
/kaggle/input/real-fake-dataset/Real_fake_dataset/train/0_real/3051.jpg,0,test
